chokepoint_id,ship_type,entry_sog_kn,queue_depth,hour_of_day,day_of_week,month,recent_throughput_24h,bbox_diagonal_km,transit_minutes,entry_ts,_synthetic
Suez Canal,other,12.88,5,15,6,3,22,700.0,554.4,1710085482.2,True
Suez Canal,bulker,8.87,9,17,0,3,39,700.0,955.2,1710179636.0,True
Suez Canal,tanker,11.92,6,21,4,2,21,700.0,915.1,1707515188.8,True
Suez Canal,other,10.61,14,21,3,2,49,700.0,896.3,1706823993.9,True
Suez Canal,unknown,16.35,11,21,6,1,38,700.0,832.7,1705266955.1,True
Suez Canal,bulker,8.9,9,1,3,1,33,700.0,943.8,1705540529.3,True
Suez Canal,bulker,11.29,10,21,4,3,31,700.0,985.6,1710538852.2,True
Suez Canal,other,12.58,11,15,0,1,34,700.0,833.2,1704124449.0,True
Suez Canal,container,8.84,15,13,5,1,61,700.0,756.5,1705154261.5,True
Suez Canal,tanker,12.98,12,19,0,2,34,700.0,926.4,1708371833.4,True
Suez Canal,bulker,8.7,5,19,6,3,16,700.0,810.0,1710703262.3,True
Suez Canal,other,10.23,12,13,0,3,28,700.0,824.4,1710162792.5,True
Suez Canal,container,9.83,11,0,2,3,46,700.0,863.3,1709684266.3,True
Suez Canal,bulker,10.8,8,7,6,2,16,700.0,733.0,1707030021.1,True
Suez Canal,unknown,10.05,6,18,4,3,18,700.0,736.7,1711132323.5,True
Suez Canal,container,10.15,6,12,3,1,19,700.0,554.5,1706184150.4,True
Suez Canal,other,11.18,4,21,1,1,23,700.0,728.9,1705441785.2,True
Suez Canal,tanker,11.45,5,11,2,2,17,700.0,936.3,1709120407.2,True
Suez Canal,unknown,9.4,5,7,2,1,19,700.0,711.7,1704871261.5,True
Suez Canal,other,8.46,4,1,2,1,28,700.0,783.4,1704244522.9,True
Suez Canal,bulker,5.67,6,9,0,3,18,700.0,746.0,1711359738.5,True
Suez Canal,tanker,11.39,14,22,1,1,35,700.0,918.8,1704235255.5,True
Suez Canal,other,15.42,11,7,4,1,41,700.0,950.4,1706254073.9,True
Suez Canal,other,16.32,7,8,3,1,26,700.0,849.5,1704358120.0,True
Suez Canal,unknown,10.9,9,4,5,1,17,700.0,874.9,1706329377.1,True
Suez Canal,unknown,14.95,10,7,5,3,41,700.0,846.1,1711783912.4,True
Suez Canal,tanker,13.77,8,11,6,3,18,700.0,1018.2,1710070368.7,True
Suez Canal,tanker,15.31,16,16,0,1,53,700.0,1021.5,1705940987.2,True
Suez Canal,container,10.01,12,22,6,1,37,700.0,827.3,1706480276.9,True
Suez Canal,container,5.87,12,20,4,1,39,700.0,766.1,1705092249.6,True
Suez Canal,tanker,7.68,13,8,2,3,45,700.0,946.4,1710320072.3,True
Suez Canal,unknown,10.61,15,15,3,2,55,700.0,946.7,1709221632.1,True
Suez Canal,unknown,11.57,10,12,2,1,42,700.0,1025.7,1704890658.2,True
Suez Canal,tanker,11.79,7,1,0,2,17,700.0,792.4,1707701559.3,True
Suez Canal,bulker,9.68,5,18,5,2,10,700.0,898.3,1708194464.3,True
Suez Canal,other,7.78,18,20,5,2,42,700.0,1181.3,1707596702.2,True
Suez Canal,bulker,15.32,11,11,4,2,49,700.0,907.1,1708689516.2,True
Suez Canal,tanker,7.56,9,14,4,1,22,700.0,878.0,1706281183.4,True
Suez Canal,bulker,11.39,14,4,4,2,55,700.0,1000.0,1708663934.3,True
Suez Canal,container,16.23,9,21,3,1,17,700.0,810.7,1704405262.1,True
Suez Canal,tanker,12.2,11,0,5,3,41,700.0,1029.5,1710548173.7,True
Suez Canal,other,11.13,11,4,2,3,40,700.0,852.7,1710303753.2,True
Suez Canal,container,10.41,0,4,0,3,0,700.0,604.6,1710735681.0,True
Suez Canal,bulker,7.17,16,12,2,2,46,700.0,1009.6,1707308931.7,True
Suez Canal,container,12.46,15,17,5,1,62,700.0,1014.0,1706375711.5,True
Suez Canal,container,10.26,13,17,2,2,45,700.0,801.2,1709141719.2,True
Suez Canal,tanker,13.93,9,12,6,3,16,700.0,1065.9,1709469950.2,True
Suez Canal,container,9.7,5,8,5,1,15,700.0,745.4,1705135684.1,True
Suez Canal,container,9.32,5,19,1,1,21,700.0,629.3,1706037509.0,True
Suez Canal,other,11.18,11,22,6,2,37,700.0,1007.5,1707690700.5,True
Suez Canal,container,14.69,3,18,3,1,16,700.0,720.2,1704998248.4,True
Suez Canal,bulker,11.59,10,0,2,1,30,700.0,829.5,1706661567.2,True
Suez Canal,container,8.35,13,7,6,1,42,700.0,997.3,1705216363.5,True
Suez Canal,unknown,11.03,13,5,0,3,60,700.0,999.9,1710134824.4,True
Suez Canal,container,5.99,9,13,6,3,29,700.0,734.8,1710680949.9,True
Suez Canal,container,7.0,4,6,4,3,18,700.0,705.6,1710485506.6,True
Suez Canal,bulker,11.14,0,22,2,1,0,700.0,728.5,1704927135.5,True
Suez Canal,bulker,12.33,10,3,1,1,44,700.0,891.0,1704770467.1,True
Suez Canal,tanker,10.34,12,22,4,3,38,700.0,1042.7,1711148322.9,True
Suez Canal,other,9.3,0,11,0,1,5,700.0,594.4,1705922186.7,True
Suez Canal,container,14.38,9,10,5,3,17,700.0,700.6,1710583334.2,True
Suez Canal,unknown,13.01,8,8,3,1,15,700.0,688.4,1705568290.6,True
Suez Canal,tanker,6.42,9,19,3,1,20,700.0,847.5,1704396517.9,True
Suez Canal,container,10.53,11,6,6,2,46,700.0,852.6,1707632967.6,True
Suez Canal,unknown,10.17,14,0,3,2,50,700.0,979.3,1708561861.9,True
Suez Canal,bulker,11.17,18,16,0,2,62,700.0,1180.1,1707754336.0,True
Suez Canal,bulker,8.92,11,2,1,2,32,700.0,742.6,1709002076.0,True
Suez Canal,container,13.76,17,15,2,2,64,700.0,983.3,1707320678.7,True
Suez Canal,container,10.15,12,17,2,2,58,700.0,739.2,1709140519.4,True
Suez Canal,unknown,11.23,15,3,4,2,49,700.0,961.7,1708054260.4,True
Suez Canal,other,12.66,6,7,0,1,20,700.0,785.0,1706512368.6,True
Suez Canal,tanker,6.42,13,13,1,1,61,700.0,810.8,1705412404.8,True
Suez Canal,bulker,7.24,7,19,6,1,33,700.0,792.3,1705261693.9,True
Suez Canal,container,7.1,11,23,6,1,31,700.0,829.0,1706485236.7,True
Suez Canal,other,9.28,12,6,5,2,38,700.0,1030.6,1708150286.6,True
Suez Canal,container,14.51,9,3,5,3,37,700.0,907.0,1711767941.3,True
Suez Canal,unknown,8.65,8,5,0,2,26,700.0,853.5,1707716686.2,True
Suez Canal,tanker,5.01,14,2,2,2,59,700.0,860.2,1707878976.1,True
Suez Canal,tanker,10.6,8,10,2,2,31,700.0,789.2,1709114983.0,True
Suez Canal,other,11.74,12,0,6,3,48,700.0,876.2,1710633867.7,True
Suez Canal,container,8.78,5,12,6,3,14,700.0,718.1,1710678932.9,True
Suez Canal,unknown,10.6,12,11,2,1,30,700.0,950.2,1706702141.4,True
Suez Canal,container,8.75,11,15,0,1,47,700.0,689.1,1704124077.2,True
Suez Canal,unknown,4.98,11,12,5,3,50,700.0,852.4,1709988099.6,True
Suez Canal,container,8.91,5,22,2,3,23,700.0,833.0,1709762447.4,True
Suez Canal,other,7.8,3,0,3,3,14,700.0,639.1,1709772867.2,True
Suez Canal,tanker,9.56,12,0,4,3,51,700.0,911.5,1711671482.4,True
Suez Canal,tanker,6.79,11,0,4,3,35,700.0,852.9,1710463606.1,True
Suez Canal,other,7.79,6,15,6,3,25,700.0,773.7,1710083652.0,True
Suez Canal,container,11.67,10,5,0,3,30,700.0,840.4,1710739982.4,True
Suez Canal,bulker,4.97,5,10,4,3,5,700.0,1026.6,1709289661.2,True
Suez Canal,tanker,10.53,8,17,0,2,17,700.0,932.2,1707153806.0,True
Suez Canal,container,11.43,18,16,2,3,57,700.0,961.2,1710345788.2,True
Suez Canal,tanker,15.62,8,7,0,2,24,700.0,1030.1,1707118262.1,True
Suez Canal,bulker,11.44,6,14,1,1,26,700.0,790.1,1704204592.4,True
Suez Canal,bulker,10.8,8,16,6,2,31,700.0,717.8,1708272901.2,True
Suez Canal,bulker,11.68,13,19,3,3,42,700.0,854.7,1709839464.4,True
Suez Canal,other,12.05,11,16,1,3,40,700.0,847.0,1710865868.5,True
Suez Canal,tanker,9.91,7,12,5,3,16,700.0,929.2,1711802000.8,True
Suez Canal,tanker,10.39,11,23,1,3,25,700.0,743.3,1711495997.2,True
Suez Canal,container,8.71,6,3,1,1,10,700.0,810.2,1705980614.0,True
Suez Canal,bulker,8.56,14,14,6,2,49,700.0,1045.5,1707057106.0,True
Suez Canal,tanker,8.41,12,3,0,1,33,700.0,949.0,1704080113.7,True
Suez Canal,bulker,8.44,8,19,3,2,16,700.0,964.7,1707421198.9,True
Suez Canal,unknown,11.71,15,11,5,3,53,700.0,864.2,1709380217.0,True
Suez Canal,unknown,10.53,12,12,6,1,38,700.0,915.0,1705237130.4,True
Suez Canal,container,13.5,1,22,2,1,4,700.0,508.1,1704927454.7,True
Suez Canal,other,12.29,17,19,6,3,49,700.0,913.6,1710703000.9,True
Suez Canal,bulker,15.46,18,21,5,2,59,700.0,1000.3,1707601061.0,True
Suez Canal,bulker,12.59,14,1,5,2,26,700.0,1052.5,1708738507.0,True
Suez Canal,other,7.8,7,17,1,1,23,700.0,929.6,1704215209.5,True
Suez Canal,other,11.51,10,10,4,2,28,700.0,875.7,1708684826.3,True
Suez Canal,container,15.49,9,8,0,1,38,700.0,777.0,1704098363.1,True
Suez Canal,tanker,10.62,5,6,6,2,17,700.0,701.5,1708236694.4,True
Suez Canal,bulker,13.49,9,6,5,3,22,700.0,977.5,1710569842.5,True
Suez Canal,other,11.95,11,19,0,2,37,700.0,961.0,1708371533.6,True
Suez Canal,other,10.49,10,17,2,2,30,700.0,862.8,1707327462.1,True
Suez Canal,tanker,11.61,8,1,3,3,30,700.0,777.5,1710985168.3,True
Suez Canal,container,8.09,11,7,0,3,46,700.0,652.4,1710746650.7,True
Suez Canal,other,4.32,14,12,4,2,36,700.0,1068.5,1708087543.5,True
Suez Canal,bulker,10.18,6,21,0,3,24,700.0,984.6,1710797892.1,True
Suez Canal,container,10.77,17,22,5,2,67,700.0,984.9,1706999877.0,True
Suez Canal,container,10.1,13,19,1,2,43,700.0,945.8,1707248672.5,True
Suez Canal,bulker,12.06,11,19,4,1,25,700.0,989.2,1705086701.2,True
Suez Canal,bulker,9.27,10,19,4,3,32,700.0,786.4,1709926451.5,True
Suez Canal,unknown,8.48,11,8,2,1,28,700.0,884.5,1706084604.2,True
Suez Canal,unknown,10.74,9,17,1,1,34,700.0,855.1,1706030144.6,True
Suez Canal,bulker,11.72,5,18,1,3,4,700.0,758.4,1711477721.3,True
Suez Canal,bulker,9.98,7,12,6,2,26,700.0,813.1,1708863096.0,True
Suez Canal,container,7.16,11,3,3,3,52,700.0,829.2,1709783566.4,True
Suez Canal,tanker,10.44,18,17,0,3,71,700.0,1106.3,1711388606.1,True
Suez Canal,other,9.44,12,5,2,2,46,700.0,988.2,1707283104.2,True
Suez Canal,tanker,6.3,15,18,5,2,61,700.0,956.0,1708195092.7,True
Suez Canal,container,10.58,17,14,4,2,47,700.0,931.1,1708092536.0,True
Suez Canal,tanker,15.12,14,16,1,3,40,700.0,1065.1,1711471893.8,True
Suez Canal,bulker,11.53,13,16,2,1,46,700.0,1017.4,1704300904.4,True
Suez Canal,other,4.0,11,20,5,2,40,700.0,533.6,1708203146.2,True
Suez Canal,bulker,9.22,5,20,5,3,18,700.0,753.6,1711226297.7,True
Suez Canal,container,11.33,16,10,1,3,33,700.0,920.1,1710238508.7,True
Suez Canal,tanker,13.31,7,6,4,1,27,700.0,832.5,1706251450.3,True
Suez Canal,container,8.4,6,23,5,3,24,700.0,672.9,1711235524.7,True
Suez Canal,container,11.57,3,12,1,3,0,700.0,677.7,1711454875.1,True
Suez Canal,bulker,9.79,8,7,3,3,32,700.0,996.3,1711007184.3,True
Suez Canal,container,12.92,11,6,1,2,36,700.0,831.8,1707202018.2,True
Suez Canal,tanker,12.58,8,19,2,1,28,700.0,910.6,1706729410.3,True
Suez Canal,tanker,7.91,11,15,3,2,41,700.0,900.9,1709221985.9,True
Suez Canal,tanker,10.32,10,2,4,3,40,700.0,979.8,1709260395.1,True
Suez Canal,unknown,5.73,12,5,4,1,36,700.0,704.6,1705642014.2,True
Suez Canal,other,11.51,14,20,0,1,46,700.0,971.7,1706559339.3,True
Suez Canal,other,13.01,7,22,5,2,28,700.0,688.1,1708812328.6,True
Suez Canal,unknown,8.85,6,21,0,2,27,700.0,817.6,1708983206.6,True
Suez Canal,container,11.27,9,1,4,3,27,700.0,652.0,1709860254.1,True
Suez Canal,container,12.11,10,0,5,1,46,700.0,928.9,1706316953.4,True
Suez Canal,other,8.32,9,2,1,1,24,700.0,948.1,1705371231.5,True
Suez Canal,tanker,7.02,9,9,3,1,44,700.0,922.4,1704966915.6,True
Suez Canal,tanker,11.61,15,23,6,3,46,700.0,1072.9,1711321436.5,True
Suez Canal,tanker,7.14,4,17,3,2,14,700.0,767.1,1709226212.5,True
Suez Canal,unknown,9.36,10,18,5,3,29,700.0,850.8,1709402802.8,True
Suez Canal,container,13.83,14,21,3,3,48,700.0,939.9,1711661739.9,True
Suez Canal,container,9.01,4,20,0,3,14,700.0,741.6,1710190519.1,True
Suez Canal,unknown,11.26,9,5,2,2,27,700.0,936.8,1707887217.9,True
Suez Canal,container,11.01,11,1,6,1,26,700.0,798.8,1704592223.7,True
Suez Canal,unknown,10.39,9,1,4,3,28,700.0,754.3,1710467838.0,True
Suez Canal,bulker,14.22,9,8,1,1,31,700.0,888.6,1704788471.3,True
Suez Canal,bulker,6.0,0,19,6,2,2,700.0,688.5,1707680548.9,True
Suez Canal,container,13.58,14,20,1,1,36,700.0,972.6,1705438041.7,True
Suez Canal,unknown,11.0,10,9,5,2,22,700.0,636.2,1707556520.6,True
Suez Canal,container,7.23,8,1,3,2,42,700.0,676.5,1709168830.5,True
Suez Canal,container,8.13,8,9,2,1,26,700.0,743.5,1704273868.7,True
Suez Canal,bulker,11.37,6,9,4,3,23,700.0,856.8,1710494930.9,True
Panama Canal,bulker,10.97,12,21,4,3,48,400.0,615.5,1709328848.9,True
Panama Canal,unknown,13.52,16,2,3,3,56,400.0,775.1,1710989892.6,True
Panama Canal,tanker,14.71,6,14,3,1,22,400.0,382.8,1705587303.1,True
Panama Canal,bulker,9.31,7,2,5,1,23,400.0,433.2,1705114565.2,True
Panama Canal,unknown,10.54,8,22,5,2,12,400.0,295.9,1708814331.9,True
Panama Canal,other,14.31,5,18,6,2,21,400.0,496.8,1708884970.5,True
Panama Canal,unknown,12.82,12,23,3,1,46,400.0,648.8,1704410705.6,True
Panama Canal,container,11.22,5,1,4,3,16,400.0,313.6,1711677059.1,True
Panama Canal,container,14.19,16,9,3,1,58,400.0,807.3,1705569587.9,True
Panama Canal,container,6.48,8,23,0,2,34,400.0,340.0,1708990568.0,True
Panama Canal,bulker,9.19,11,13,6,2,44,400.0,669.3,1707658296.1,True
Panama Canal,bulker,11.24,13,22,0,1,51,400.0,633.7,1705358503.0,True
Panama Canal,container,12.63,12,9,4,3,50,400.0,684.3,1710496318.1,True
Panama Canal,tanker,11.06,7,3,6,3,24,400.0,631.5,1711251449.5,True
Panama Canal,container,5.96,1,21,3,3,0,400.0,265.5,1709848344.7,True
Panama Canal,bulker,13.06,18,2,2,3,62,400.0,774.3,1710900465.9,True
Panama Canal,other,7.06,13,6,6,2,48,400.0,537.2,1708238930.1,True
Panama Canal,container,12.54,0,16,5,2,0,400.0,214.2,1706979031.6,True
Panama Canal,tanker,10.13,0,5,3,2,2,400.0,374.3,1707371839.7,True
Panama Canal,container,10.49,17,8,6,1,62,400.0,597.6,1706429522.5,True
